id,STATE,Top_Source,Narration,Renew_Target,Goal
46,SD,Hydro,"Wind has also grown substantially in the state, and now provides a quarter of all generation. Coal, on the other hand, has declined over time.",Voluntary,10% by 2015.
47,TN,Nuclear,"Coal has decreased over the years, being replaced by natural gas and nuclear's rising share.",None,None
48,TX,Natural Gas,"Coal has been replaced by Texas' rising share of wind over the years. Currently, Texas is the country's biggest wind producer by total generation, and produces 17% of all electricity by wind.",RPS,"5,880 MW by 2015. 10,000 MW by 2025 (goal; achieved)."
49,UT,Coal,"Coal has consistently dominated Utah's energy mix, though natural gas is expanding in the state, along with some solar.",Voluntary,20% by 2025.
51,VA,Natural Gas,"Natural gas displaced coal as the dominant energy source, and now makes up over half of all generation.",RPS,100% renewables by 2045 for Phase II utilities and 2050 for Phase I utilities. 
50,VT,Hydro,Hydroelectric has replaced the once dominant nuclear powe. Shares of wind and solar have also grown.,RPS,55% by 2017; 75% by 2032.
53,WA,Hydro,Hydroelectric has long been the dominant energy source in the state. Wind is slowly growing.,RPS,15% renewable by 2020; 100% greenhouse gas neutral by 2030; 100% renewable or zero-emitting by 2045. 
55,WI,Coal,"Coal has consistently dominated Wisconsin's energy mix, though natural gas is expanding in the state. ",RPS,10% by 2015.
54,WV,Coal,"Coal is by far the largest energy source in the state, at 91% of all generation.",None,None
56,WY,Coal,"Coal is by far the largest energy source in the state, at 84% of all generation.",None,None
